wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
582.0,0.050327,0.801355,0.041342,0.799098,0.044597,0.783131,0.099088,0.713986
584.0,0.048423,0.800760,0.039934,0.797924,0.044071,0.781034,0.099966,0.710470
586.0,0.046579,0.800079,0.038638,0.796625,0.043718,0.778770,0.101077,0.706763
588.0,0.044803,0.799306,0.037462,0.795196,0.043547,0.776335,0.102430,0.702863
590.0,0.043102,0.798434,0.036415,0.793631,0.043566,0.773723,0.104033,0.698767
592.0,0.041484,0.797458,0.035505,0.791923,0.043784,0.770932,0.105894,0.694474
594.0,0.039959,0.796373,0.034741,0.790068,0.044207,0.767956,0.108021,0.689985
596.0,0.038534,0.795171,0.034130,0.788060,0.044844,0.764794,0.110419,0.685297
598.0,0.037218,0.793847,0.033682,0.785894,0.045702,0.761440,0.113096,0.680413
600.0,0.036018,0.792395,0.033403,0.783567,0.046788,0.757895,0.116057,0.675332
602.0,0.034944,0.790810,0.033303,0.781072,0.048107,0.754154,0.119305,0.670057
604.0,0.034004,0.789086,0.033388,0.778407,0.049667,0.750217,0.122844,0.664589
606.0,0.033205,0.787218,0.033666,0.775567,0.051471,0.746082,0.126677,0.658933
608.0,0.032557,0.785201,0.034144,0.772549,0.053524,0.741750,0.130805,0.653091
610.0,0.032066,0.783030,0.034828,0.769350,0.055831,0.737220,0.135227,0.647068
612.0,0.031742,0.780700,0.035725,0.765968,0.058396,0.732493,0.139943,0.640869
614.0,0.031591,0.778208,0.036840,0.762400,0.061219,0.727569,0.144950,0.634500
616.0,0.031620,0.775549,0.038179,0.758645,0.064304,0.722452,0.150246,0.627967
618.0,0.031838,0.772720,0.039746,0.754701,0.067652,0.717142,0.155825,0.621278
620.0,0.032250,0.769717,0.041546,0.750568,0.071263,0.711644,0.161681,0.614439
622.0,0.032863,0.766537,0.043582,0.746246,0.075137,0.705960,0.167807,0.607460
624.0,0.033684,0.763179,0.045859,0.741734,0.079273,0.700095,0.174195,0.600349
626.0,0.034718,0.759639,0.048377,0.737034,0.083668,0.694054,0.180836,0.593115
628.0,0.035969,0.755916,0.051140,0.732147,0.088319,0.687841,0.187720,0.585767
630.0,0.037444,0.752009,0.054149,0.727075,0.093225,0.681462,0.194835,0.578317
632.0,0.039145,0.747918,0.057403,0.721819,0.098379,0.674923,0.202168,0.570773
634.0,0.041078,0.743641,0.060905,0.716384,0.103777,0.668232,0.209709,0.563146
636.0,0.043244,0.739179,0.064651,0.710772,0.109414,0.661394,0.217441,0.555447
638.0,0.045648,0.734533,0.068643,0.704986,0.115282,0.654419,0.225353,0.547687
640.0,0.048290,0.729704,0.072877,0.699032,0.121376,0.647312,0.233429,0.539876
642.0,0.051172,0.724693,0.077350,0.692915,0.127686,0.640083,0.241655,0.532024
644.0,0.054296,0.719503,0.082061,0.686638,0.134204,0.632740,0.250016,0.524142
646.0,0.057661,0.714137,0.087004,0.680209,0.140923,0.625291,0.258496,0.516241
648.0,0.061267,0.708597,0.092176,0.673632,0.147832,0.617745,0.267080,0.508330
650.0,0.065113,0.702887,0.097571,0.666915,0.154923,0.610112,0.275755,0.500420
652.0,0.069197,0.697011,0.103184,0.660064,0.162184,0.602399,0.284504,0.492519
654.0,0.073517,0.690974,0.109009,0.653086,0.169606,0.594617,0.293313,0.484638
656.0,0.078071,0.684780,0.115039,0.645988,0.177177,0.586774,0.302169,0.476784
658.0,0.082855,0.678435,0.121267,0.638778,0.184888,0.578880,0.311057,0.468966
660.0,0.087864,0.671944,0.127685,0.631463,0.192728,0.570943,0.319964,0.461193
662.0,0.093095,0.665314,0.134286,0.624051,0.200684,0.562972,0.328878,0.453471
664.0,0.098542,0.658550,0.141062,0.616551,0.208747,0.554976,0.337786,0.445808
666.0,0.104199,0.651660,0.148003,0.608971,0.216906,0.546964,0.346677,0.438210
668.0,0.110061,0.644651,0.155102,0.601318,0.225148,0.538944,0.355539,0.430684
670.0,0.116121,0.637528,0.162349,0.593601,0.233465,0.530923,0.364363,0.423234
672.0,0.122372,0.630301,0.169735,0.585828,0.241845,0.522911,0.373139,0.415866
674.0,0.128807,0.622976,0.177250,0.578007,0.250277,0.514914,0.381858,0.408585
676.0,0.135417,0.615561,0.184886,0.570146,0.258752,0.506940,0.390512,0.401395
678.0,0.142196,0.608064,0.192633,0.562254,0.267260,0.498996,0.399093,0.394299
680.0,0.149134,0.600492,0.200481,0.554338,0.275791,0.491088,0.407593,0.387301
682.0,0.156224,0.592854,0.208421,0.546406,0.284336,0.483223,0.416008,0.380404
684.0,0.163457,0.585158,0.216443,0.538465,0.292885,0.475407,0.424330,0.373611
686.0,0.170823,0.577410,0.224538,0.530523,0.301431,0.467645,0.432555,0.366923
688.0,0.178314,0.569621,0.232697,0.522587,0.309965,0.459944,0.440678,0.360342
690.0,0.185920,0.561796,0.240911,0.514664,0.318479,0.452307,0.448696,0.353870
692.0,0.193633,0.553943,0.249171,0.506761,0.326967,0.444739,0.456604,0.347507
694.0,0.201444,0.546072,0.257468,0.498884,0.335420,0.437245,0.464399,0.341255
696.0,0.209343,0.538187,0.265793,0.491039,0.343832,0.429829,0.472080,0.335114
698.0,0.217321,0.530298,0.274139,0.483232,0.352198,0.422494,0.479644,0.329085
700.0,0.225370,0.522411,0.282498,0.475469,0.360511,0.415244,0.487089,0.323167
702.0,0.233481,0.514533,0.290861,0.467756,0.368765,0.408081,0.494413,0.317360
704.0,0.241644,0.506670,0.299221,0.460096,0.376957,0.401008,0.501617,0.311664
706.0,0.249851,0.498830,0.307572,0.452496,0.385080,0.394028,0.508698,0.306078
708.0,0.258095,0.491017,0.315906,0.444959,0.393131,0.387142,0.515658,0.300602
710.0,0.266366,0.483239,0.324216,0.437490,0.401106,0.380353,0.522495,0.295234
712.0,0.274657,0.475500,0.332498,0.430092,0.409002,0.373662,0.529210,0.289974
714.0,0.282960,0.467807,0.340744,0.422769,0.416814,0.367070,0.535803,0.284820
716.0,0.291268,0.460164,0.348949,0.415524,0.424541,0.360578,0.542275,0.279772
718.0,0.299573,0.452576,0.357108,0.408361,0.432178,0.354188,0.548626,0.274828
720.0,0.307869,0.445047,0.365215,0.401282,0.439725,0.347900,0.554858,0.269986
722.0,0.316149,0.437583,0.373268,0.394290,0.447179,0.341714,0.560971,0.265244
724.0,0.324406,0.430187,0.381259,0.387387,0.454538,0.335631,0.566967,0.260603
726.0,0.332636,0.422862,0.389187,0.380575,0.461801,0.329650,0.572848,0.256059
728.0,0.340831,0.415612,0.397047,0.373855,0.468966,0.323773,0.578614,0.251611
730.0,0.348986,0.408441,0.404835,0.367230,0.476033,0.317997,0.584267,0.247257
732.0,0.357097,0.401351,0.412549,0.360700,0.482999,0.312324,0.589808,0.242997
734.0,0.365158,0.394345,0.420186,0.354267,0.489866,0.306753,0.595240,0.238827
736.0,0.373165,0.387425,0.427742,0.347932,0.496632,0.301282,0.600565,0.234747
738.0,0.381113,0.380594,0.435216,0.341695,0.503297,0.295912,0.605783,0.230753
740.0,0.389000,0.373853,0.442606,0.335556,0.509861,0.290642,0.610896,0.226846
742.0,0.396820,0.367204,0.449909,0.329518,0.516324,0.285470,0.615907,0.223023
744.0,0.404570,0.360649,0.457123,0.323578,0.522685,0.280396,0.620818,0.219282
746.0,0.412249,0.354189,0.464248,0.317738,0.528946,0.275419,0.625630,0.215621
748.0,0.419851,0.347825,0.471282,0.311998,0.535107,0.270537,0.630345,0.212039
750.0,0.427375,0.341558,0.478224,0.306357,0.541168,0.265750,0.634964,0.208534
752.0,0.434819,0.335388,0.485073,0.300814,0.547129,0.261056,0.639491,0.205104
754.0,0.442180,0.329316,0.491828,0.295371,0.552992,0.256454,0.643927,0.201748
756.0,0.449456,0.323343,0.498488,0.290025,0.558758,0.251943,0.648273,0.198463
758.0,0.456646,0.317469,0.505054,0.284777,0.564426,0.247521,0.652532,0.195249
760.0,0.463748,0.311693,0.511525,0.279625,0.569999,0.243187,0.656705,0.192104
762.0,0.470761,0.306016,0.517901,0.274569,0.575476,0.238940,0.660794,0.189026
764.0,0.477683,0.300437,0.524182,0.269608,0.580860,0.234777,0.664802,0.186013
766.0,0.484514,0.294956,0.530368,0.264740,0.586151,0.230699,0.668729,0.183065
768.0,0.491253,0.289574,0.536459,0.259966,0.591350,0.226703,0.672577,0.180178
770.0,0.497899,0.284288,0.542455,0.255284,0.596459,0.222788,0.676349,0.177353
772.0,0.504452,0.279098,0.548358,0.250692,0.601478,0.218952,0.680046,0.174588
774.0,0.510911,0.274005,0.554167,0.246190,0.606409,0.215194,0.683669,0.171880
776.0,0.517277,0.269007,0.559882,0.241776,0.611253,0.211513,0.687221,0.169230
778.0,0.523549,0.264102,0.565506,0.237449,0.616012,0.207907,0.690703,0.166635
780.0,0.529727,0.259291,0.571038,0.233208,0.620686,0.204375,0.694116,0.164093
782.0,0.535811,0.254572,0.576479,0.229052,0.625278,0.200915,0.697462,0.161605
784.0,0.541802,0.249944,0.581830,0.224979,0.629787,0.197526,0.700743,0.159168
786.0,0.547701,0.245406,0.587093,0.220987,0.634217,0.194206,0.703959,0.156782
788.0,0.553506,0.240957,0.592267,0.217077,0.638567,0.190954,0.707114,0.154444
790.0,0.559220,0.236595,0.597354,0.213245,0.642839,0.187769,0.710207,0.152155
792.0,0.564842,0.232320,0.602354,0.209491,0.647035,0.184650,0.713241,0.149912
794.0,0.570374,0.228130,0.607270,0.205814,0.651156,0.181594,0.716216,0.147715
796.0,0.575815,0.224024,0.612102,0.202212,0.655204,0.178601,0.719134,0.145562
798.0,0.581168,0.220001,0.616851,0.198683,0.659178,0.175669,0.721997,0.143453
800.0,0.586432,0.216058,0.621518,0.195227,0.663082,0.172797,0.724805,0.141386
802.0,0.591609,0.212196,0.626105,0.191842,0.666916,0.169984,0.727560,0.139360
804.0,0.596699,0.208412,0.630612,0.188526,0.670681,0.167228,0.730264,0.137375
806.0,0.601704,0.204706,0.635041,0.185279,0.674379,0.164529,0.732916,0.135430
808.0,0.606624,0.201075,0.639392,0.182098,0.678010,0.161884,0.735519,0.133523
810.0,0.611461,0.197519,0.643668,0.178984,0.681577,0.159294,0.738074,0.131653
812.0,0.616216,0.194036,0.647870,0.175933,0.685080,0.156756,0.740581,0.129820
814.0,0.620889,0.190624,0.651997,0.172945,0.688521,0.154269,0.743043,0.128023
816.0,0.625482,0.187283,0.656053,0.170019,0.691900,0.151833,0.745458,0.126261
818.0,0.629996,0.184012,0.660037,0.167154,0.695220,0.149447,0.747830,0.124533
820.0,0.634432,0.180808,0.663952,0.164347,0.698480,0.147108,0.750159,0.122838
822.0,0.638791,0.177670,0.667797,0.161599,0.701683,0.144816,0.752445,0.121176
824.0,0.643075,0.174597,0.671576,0.158907,0.704830,0.142571,0.754690,0.119546
826.0,0.647284,0.171588,0.675288,0.156270,0.707920,0.140371,0.756895,0.117947
828.0,0.651420,0.168642,0.678934,0.153688,0.710957,0.138214,0.759061,0.116378
830.0,0.655484,0.165757,0.682517,0.151159,0.713940,0.136101,0.761188,0.114838
832.0,0.659477,0.162932,0.686037,0.148682,0.716870,0.134030,0.763277,0.113328
834.0,0.663401,0.160165,0.689495,0.146256,0.719750,0.131999,0.765329,0.111846
836.0,0.667256,0.157456,0.692892,0.143880,0.722579,0.130010,0.767346,0.110391
