wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
698.0,0.141613,0.858387,0.921976,0.078024,0.989438,0.010562,0.986286,0.013714
700.0,0.117751,0.882249,0.937307,0.062693,0.991078,0.008922,0.986912,0.013088
702.0,0.128504,0.871496,0.951805,0.048195,0.992130,0.007870,0.987213,0.012787
704.0,0.247052,0.752948,0.963204,0.036796,0.992718,0.007282,0.987343,0.012657
706.0,0.453281,0.546719,0.971191,0.028809,0.992973,0.007027,0.987493,0.012507
708.0,0.639245,0.360755,0.976471,0.023529,0.993010,0.006990,0.987887,0.012113
710.0,0.760524,0.239476,0.979882,0.020118,0.992842,0.007158,0.988651,0.011349
712.0,0.830934,0.169066,0.982118,0.017882,0.992420,0.007580,0.989693,0.010307
714.0,0.870693,0.129307,0.983729,0.016271,0.991798,0.008202,0.990845,0.009155
716.0,0.892784,0.107216,0.985162,0.014838,0.991192,0.008808,0.991930,0.008070
718.0,0.904489,0.095511,0.986731,0.013269,0.990952,0.009048,0.992831,0.007169
720.0,0.910316,0.089684,0.988555,0.011445,0.991337,0.008663,0.993500,0.006500
722.0,0.914180,0.085820,0.990509,0.009491,0.992249,0.007751,0.993931,0.006069
724.0,0.920289,0.079711,0.992334,0.007666,0.993336,0.006664,0.994130,0.005870
726.0,0.931308,0.068692,0.993834,0.006166,0.994310,0.005690,0.994094,0.005906
728.0,0.945543,0.054457,0.994954,0.005046,0.995057,0.004943,0.993804,0.006196
730.0,0.958908,0.041092,0.995730,0.004270,0.995578,0.004422,0.993210,0.006790
732.0,0.969101,0.030899,0.996225,0.003775,0.995912,0.004088,0.992227,0.007773
734.0,0.976078,0.023922,0.996493,0.003507,0.996104,0.003896,0.990735,0.009265
736.0,0.980622,0.019378,0.996564,0.003436,0.996196,0.003804,0.988609,0.011391
738.0,0.983510,0.016490,0.996456,0.003544,0.996240,0.003760,0.985874,0.014126
740.0,0.985321,0.014679,0.996180,0.003820,0.996296,0.003704,0.983045,0.016955
742.0,0.986486,0.013514,0.995788,0.004212,0.996426,0.003574,0.981329,0.018671
744.0,0.987377,0.012623,0.995396,0.004604,0.996661,0.003339,0.981738,0.018262
746.0,0.988341,0.011659,0.995124,0.004876,0.996977,0.003023,0.983834,0.016166
748.0,0.989615,0.010385,0.995045,0.004955,0.997309,0.002691,0.986374,0.013626
750.0,0.991191,0.008809,0.995260,0.004740,0.997585,0.002415,0.988567,0.011433
752.0,0.992829,0.007171,0.995783,0.004217,0.997778,0.002222,0.990215,0.009785
754.0,0.994274,0.005726,0.996442,0.003558,0.998011,0.001989,0.991386,0.008614
756.0,0.995404,0.004596,0.997046,0.002954,0.998245,0.001755,0.992207,0.007793
758.0,0.996222,0.003778,0.997510,0.002490,0.998359,0.001641,0.992805,0.007195
760.0,0.996781,0.003219,0.997832,0.002168,0.998372,0.001628,0.993295,0.006705
762.0,0.997136,0.002864,0.998038,0.001962,0.998296,0.001704,0.993771,0.006229
764.0,0.997329,0.002671,0.998159,0.001841,0.998119,0.001881,0.994303,0.005697
766.0,0.997385,0.002615,0.998222,0.001778,0.997808,0.002192,0.994909,0.005091
768.0,0.997310,0.002690,0.998252,0.001748,0.997304,0.002696,0.995562,0.004438
770.0,0.997099,0.002901,0.998277,0.001723,0.996530,0.003470,0.996206,0.003794
772.0,0.996744,0.003256,0.998320,0.001680,0.995460,0.004540,0.996789,0.003211
774.0,0.996262,0.003738,0.998401,0.001599,0.994371,0.005629,0.997283,0.002717
776.0,0.995754,0.004246,0.998526,0.001474,0.994032,0.005968,0.997680,0.002320
778.0,0.995462,0.004538,0.998680,0.001320,0.994812,0.005188,0.997990,0.002010
780.0,0.995632,0.004368,0.998839,0.001161,0.996022,0.003978,0.998225,0.001775
782.0,0.996212,0.003788,0.998977,0.001023,0.997035,0.002965,0.998399,0.001601
784.0,0.996912,0.003088,0.999081,0.000919,0.997734,0.002266,0.998521,0.001479
786.0,0.997513,0.002487,0.999144,0.000856,0.998193,0.001807,0.998602,0.001398
788.0,0.997955,0.002045,0.999161,0.000839,0.998494,0.001506,0.998646,0.001354
790.0,0.998256,0.001744,0.999120,0.000880,0.998696,0.001304,0.998658,0.001342
792.0,0.998449,0.001551,0.998994,0.001006,0.998838,0.001162,0.998637,0.001363
794.0,0.998563,0.001437,0.998770,0.001230,0.998945,0.001055,0.998583,0.001417
796.0,0.998620,0.001380,0.998621,0.001379,0.999037,0.000963,0.998493,0.001507
798.0,0.998637,0.001363,0.998685,0.001315,0.999129,0.000871,0.998360,0.001640
800.0,0.998636,0.001364,0.998629,0.001371,0.999226,0.000774,0.998176,0.001824
802.0,0.998641,0.001359,0.998324,0.001676,0.999329,0.000671,0.997927,0.002073
804.0,0.998676,0.001324,0.997807,0.002193,0.999432,0.000568,0.997596,0.002404
806.0,0.998757,0.001243,0.997380,0.002620,0.999527,0.000473,0.997161,0.002839
808.0,0.998878,0.001122,0.997591,0.002409,0.999608,0.000392,0.996593,0.003407
810.0,0.999016,0.000984,0.998254,0.001746,0.999676,0.000324,0.995861,0.004139
812.0,0.999146,0.000854,0.998825,0.001175,0.999729,0.000271,0.994931,0.005069
814.0,0.999253,0.000747,0.999188,0.000812,0.999770,0.000230,0.993778,0.006222
816.0,0.999331,0.000669,0.999406,0.000594,0.999801,0.000199,0.992392,0.007608
818.0,0.999382,0.000618,0.999540,0.000460,0.999825,0.000175,0.990787,0.009213
820.0,0.999404,0.000596,0.999625,0.000375,0.999842,0.000158,0.989004,0.010996
822.0,0.999398,0.000602,0.999681,0.000319,0.999855,0.000145,0.987099,0.012901
824.0,0.999359,0.000641,0.999719,0.000281,0.999864,0.000136,0.985143,0.014857
826.0,0.999273,0.000727,0.999748,0.000252,0.999869,0.000131,0.983232,0.016768
828.0,0.999118,0.000882,0.999772,0.000228,0.999872,0.000128,0.981527,0.018473
830.0,0.998845,0.001155,0.999793,0.000207,0.999872,0.000128,0.980292,0.019708
832.0,0.998381,0.001619,0.999815,0.000185,0.999869,0.000131,0.979866,0.020134
834.0,0.997720,0.002280,0.999839,0.000161,0.999863,0.000137,0.980501,0.019499
836.0,0.997341,0.002659,0.999862,0.000138,0.999854,0.000146,0.982144,0.017856
838.0,0.997872,0.002128,0.999885,0.000115,0.999841,0.000159,0.984414,0.015586
840.0,0.998657,0.001343,0.999905,0.000095,0.999824,0.000176,0.986824,0.013176
842.0,0.999171,0.000829,0.999923,0.000077,0.999802,0.000198,0.989019,0.010981
844.0,0.999457,0.000543,0.999937,0.000063,0.999773,0.000227,0.990845,0.009155
846.0,0.999617,0.000383,0.999947,0.000053,0.999736,0.000264,0.992284,0.007716
848.0,0.999712,0.000288,0.999956,0.000044,0.999690,0.000310,0.993383,0.006617
850.0,0.999771,0.000229,0.999962,0.000038,0.999635,0.000365,0.994204,0.005796
852.0,0.999809,0.000191,0.999967,0.000033,0.999570,0.000430,0.994805,0.005195
854.0,0.999835,0.000165,0.999971,0.000029,0.999498,0.000502,0.995230,0.004770
856.0,0.999853,0.000147,0.999974,0.000026,0.999422,0.000578,0.995512,0.004488
858.0,0.999867,0.000133,0.999976,0.000024,0.999350,0.000650,0.995672,0.004328
860.0,0.999878,0.000122,0.999977,0.000023,0.999284,0.000716,0.995723,0.004277
862.0,0.999889,0.000111,0.999978,0.000022,0.999227,0.000773,0.995668,0.004332
