wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
610.0,0.141317,0.776118,0.157803,0.759469,0.193577,0.723641,0.289077,0.628481
612.0,0.143924,0.773150,0.160580,0.756363,0.196492,0.720450,0.291943,0.625456
614.0,0.146562,0.770156,0.163384,0.753235,0.199431,0.717240,0.294828,0.622419
616.0,0.149229,0.767137,0.166216,0.750086,0.202393,0.714013,0.297731,0.619373
618.0,0.151927,0.764095,0.169074,0.746915,0.205378,0.710770,0.300651,0.616317
620.0,0.154653,0.761029,0.171958,0.743725,0.208385,0.707511,0.303587,0.613253
622.0,0.157407,0.757940,0.174866,0.740515,0.211413,0.704237,0.306537,0.610181
624.0,0.160189,0.754830,0.177799,0.737287,0.214461,0.700949,0.309502,0.607103
626.0,0.162997,0.751698,0.180755,0.734041,0.217528,0.697648,0.312479,0.604019
628.0,0.165832,0.748545,0.183734,0.730777,0.220614,0.694334,0.315468,0.600930
630.0,0.168692,0.745372,0.186736,0.727497,0.223718,0.691009,0.318469,0.597836
632.0,0.171576,0.742181,0.189758,0.724202,0.226839,0.687672,0.321479,0.594740
634.0,0.174485,0.738970,0.192801,0.720891,0.229975,0.684325,0.324498,0.591641
636.0,0.177417,0.735742,0.195864,0.717566,0.233127,0.680969,0.327526,0.588540
638.0,0.180372,0.732497,0.198946,0.714228,0.236293,0.677605,0.330561,0.585438
640.0,0.183349,0.729236,0.202046,0.710877,0.239473,0.674232,0.333602,0.582336
642.0,0.186347,0.725958,0.205164,0.707514,0.242666,0.670853,0.336648,0.579234
644.0,0.189365,0.722666,0.208299,0.704139,0.245871,0.667466,0.339699,0.576134
646.0,0.192404,0.719359,0.211450,0.700754,0.249087,0.664075,0.342754,0.573035
648.0,0.195462,0.716039,0.214616,0.697358,0.252313,0.660678,0.345811,0.569939
650.0,0.198538,0.712706,0.217797,0.693954,0.255550,0.657277,0.348870,0.566847
652.0,0.201632,0.709360,0.220992,0.690541,0.258795,0.653873,0.351931,0.563758
654.0,0.204742,0.706003,0.224200,0.687120,0.262048,0.650466,0.354992,0.560674
656.0,0.207870,0.702635,0.227421,0.683692,0.265309,0.647056,0.358052,0.557595
658.0,0.211013,0.699257,0.230653,0.680257,0.268576,0.643645,0.361112,0.554522
660.0,0.214170,0.695869,0.233897,0.676817,0.271850,0.640233,0.364169,0.551455
662.0,0.217342,0.692473,0.237151,0.673371,0.275128,0.636821,0.367224,0.548395
664.0,0.220528,0.689068,0.240415,0.669921,0.278412,0.633410,0.370276,0.545342
666.0,0.223727,0.685656,0.243688,0.666467,0.281699,0.629999,0.373323,0.542298
668.0,0.226937,0.682237,0.246969,0.663009,0.284989,0.626591,0.376367,0.539262
670.0,0.230160,0.678811,0.250258,0.659549,0.288282,0.623184,0.379404,0.536235
672.0,0.233393,0.675381,0.253554,0.656087,0.291576,0.619781,0.382436,0.533218
674.0,0.236636,0.671945,0.256857,0.652624,0.294872,0.616380,0.385462,0.530211
676.0,0.239889,0.668504,0.260165,0.649160,0.298169,0.612984,0.388480,0.527214
678.0,0.243151,0.665060,0.263478,0.645695,0.301465,0.609592,0.391491,0.524228
680.0,0.246421,0.661613,0.266796,0.642231,0.304761,0.606205,0.394494,0.521253
682.0,0.249698,0.658164,0.270118,0.638768,0.308055,0.602824,0.397488,0.518289
684.0,0.252983,0.654712,0.273443,0.635306,0.311348,0.599449,0.400473,0.515338
686.0,0.256274,0.651259,0.276770,0.631846,0.314638,0.596081,0.403448,0.512399
688.0,0.259571,0.647806,0.280100,0.628389,0.317925,0.592719,0.406413,0.509473
690.0,0.262872,0.644352,0.283431,0.624935,0.321209,0.589365,0.409367,0.506560
692.0,0.266179,0.640899,0.286763,0.621485,0.324489,0.586019,0.412311,0.503660
694.0,0.269489,0.637446,0.290096,0.618038,0.327764,0.582682,0.415243,0.500774
696.0,0.272802,0.633995,0.293428,0.614596,0.331034,0.579353,0.418164,0.497901
698.0,0.276118,0.630546,0.296759,0.611160,0.334299,0.576033,0.421072,0.495043
700.0,0.279437,0.627099,0.300090,0.607729,0.337558,0.572723,0.423968,0.492199
702.0,0.282757,0.623655,0.303418,0.604304,0.340810,0.569424,0.426850,0.489370
704.0,0.286078,0.620215,0.306744,0.600885,0.344055,0.566134,0.429720,0.486556
706.0,0.289399,0.616779,0.310067,0.597473,0.347293,0.562856,0.432576,0.483757
708.0,0.292721,0.613347,0.313387,0.594069,0.350523,0.559588,0.435419,0.480973
710.0,0.296042,0.609921,0.316704,0.590672,0.353745,0.556332,0.438247,0.478205
712.0,0.299362,0.606499,0.320016,0.587284,0.356959,0.553088,0.441062,0.475452
714.0,0.302681,0.603084,0.323323,0.583904,0.360163,0.549855,0.443861,0.472716
716.0,0.305997,0.599675,0.326625,0.580533,0.363358,0.546636,0.446646,0.469995
718.0,0.309311,0.596272,0.329922,0.577172,0.366544,0.543428,0.449416,0.467290
720.0,0.312622,0.592877,0.333213,0.573820,0.369719,0.540234,0.452171,0.464601
722.0,0.315929,0.589489,0.336497,0.570478,0.372884,0.537053,0.454910,0.461929
724.0,0.319233,0.586109,0.339774,0.567146,0.376038,0.533886,0.457634,0.459273
726.0,0.322532,0.582737,0.343045,0.563826,0.379181,0.530732,0.460342,0.456634
728.0,0.325827,0.579374,0.346307,0.560516,0.382313,0.527593,0.463034,0.454012
730.0,0.329116,0.576020,0.349562,0.557218,0.385434,0.524467,0.465710,0.451406
732.0,0.332399,0.572676,0.352809,0.553931,0.388542,0.521356,0.468370,0.448817
734.0,0.335677,0.569341,0.356047,0.550656,0.391638,0.518260,0.471014,0.446244
736.0,0.338948,0.566017,0.359275,0.547394,0.394722,0.515178,0.473641,0.443689
738.0,0.342212,0.562703,0.362495,0.544144,0.397793,0.512112,0.476252,0.441150
740.0,0.345469,0.559399,0.365705,0.540907,0.400852,0.509060,0.478846,0.438629
742.0,0.348719,0.556107,0.368905,0.537682,0.403897,0.506024,0.481424,0.436124
744.0,0.351961,0.552826,0.372094,0.534471,0.406929,0.503004,0.483985,0.433636
746.0,0.355194,0.549557,0.375273,0.531274,0.409947,0.499999,0.486529,0.431166
748.0,0.358419,0.546300,0.378442,0.528090,0.412951,0.497010,0.489057,0.428712
750.0,0.361635,0.543054,0.381599,0.524920,0.415942,0.494036,0.491568,0.426275
752.0,0.364842,0.539822,0.384745,0.521765,0.418918,0.491079,0.494061,0.423855
754.0,0.368039,0.536602,0.387879,0.518623,0.421881,0.488138,0.496538,0.421453
756.0,0.371226,0.533395,0.391001,0.515496,0.424829,0.485213,0.498998,0.419067
758.0,0.374403,0.530201,0.394112,0.512384,0.427762,0.482305,0.501441,0.416698
760.0,0.377570,0.527020,0.397210,0.509287,0.430680,0.479413,0.503867,0.414346
762.0,0.380726,0.523853,0.400295,0.506205,0.433584,0.476538,0.506276,0.412011
764.0,0.383872,0.520700,0.403368,0.503138,0.436473,0.473679,0.508668,0.409692
766.0,0.387006,0.517561,0.406428,0.500086,0.439346,0.470837,0.511044,0.407391
